time,pgn,destination,source,priority,data
6.867038,FFFF,0,0,0, FFCFFFFFFFFFFFFF
6.90102,FFFF,0,0,0, F0FF7D0000FFFFFF
6.934997,FFFF,0,0,0, FF0000FF0BFFFFFF
6.967978,FFFF,0,0,0, 6406007DFFFFFFFF
7.002947,FFFF,0,0,0, 64100B0B0000007D
7.036927,FFFF,0,0,0, F0FF7D0000FFFFFF
7.070908,FFFF,0,0,0, FF0000FF0BFFFFFF
7.104889,FFFF,0,0,0, 6406007DFFFFFFFF
7.138869,FFFF,0,0,0, FFFFFFFFFFFFFFFF
7.17386,FFFF,0,0,0, B0245A24FFFF60FE
7.207829,FFFF,0,0,0, 0000FFFF3FFFFFFF
7.246821,FFFF,0,0,0, 0000FFFF3FFFFFFF
7.284798,FFFF,0,0,0, 5C031E03B4370010130000007C280010130000
7.319765,FFFF,0,0,0, F0FF7D0000FFFFFF
7.354745,FFFF,0,0,0, FF0000FF0BFFFFFF
7.390734,FFFF,0,0,0, 6406007DFFFFFFFF
7.424714,FFFF,0,0,0, F0FF7D0000FFFFFF
7.460694,FFFF,0,0,0, 7D021EFFFFFFFFFF
7.495674,FFFF,0,0,0, FF0000FF0BFFFFFF
7.533652,FFFF,0,0,0, 6406007DFFFFFFFF
7.569632,FFFF,0,0,0, FF0000FFFFFFFFFF
7.605617,FFFF,0,0,0, 0000FFFFFFFFFFFF
7.64158,FFFF,0,0,0, 7DFFFFFFFFFFFFFF
7.67657,FFFF,0,0,0, F0FF7D0000FFFFFF
7.712548,FFFF,0,0,0, FF0000FF0BFFFFFF
7.749527,FFFF,0,0,0, 6406007DFFFFFFFF
7.785517,FFFF,0,0,0, F0FF7D0000FFFFFF
7.821486,FFFF,0,0,0, FF0000FF0BFFFFFF
7.857465,FFFF,0,0,0, 6406007DFFFFFFFF
7.893445,FFFF,0,0,0, 64100B0B0000007D
7.930423,FFFF,0,0,0, 5C031E031EFFFFFF
7.966407,FFFF,0,0,0, 00FF00000000FFFF
8.003371,FFFF,0,0,0, 00FF00000000FFFF
8.04036,FFFF,0,0,0, 00FF00000000FFFF
8.077339,FFFF,0,0,0, F0FF7D0000FFFFFF
8.115307,FFFF,0,0,0, FF0000FF0BFFFFFF
8.152295,FFFF,0,0,0, 6406007DFFFFFFFF
8.190274,FFFF,0,0,0, F0FF7D0000FFFFFF
8.227255,FFFF,0,0,0, FF0000FF0BFFFFFF
8.266221,FFFF,0,0,0, 6406007DFFFFFFFF
8.310195,FFFF,0,0,0, FFFFFFFFFFFFFFFF
8.349188,FFFF,0,0,0, F880F0F000DF03FC
8.387151,FFFF,0,0,0, 0000FFFF3FFFFFFF
