Time,PGN,DA,SA,Prioirty,Data
1547753658.860828,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.861403,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.865053,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.865579,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.870879,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.873653,60928,255,71,6,4D 74 30 04 00 34 02 20 
1547753658.874235,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1547753658.874806,60928,255,3,6,4D 74 30 04 00 03 02 20 
1547753658.880875,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753658.881451,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.882025,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753658.885051,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.8856,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
1547753658.886149,65534,255,6,3,5C 53 1D 53 1D FF FF FF 
1547753658.886737,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547753658.887339,61445,255,3,6,FF FF FF FF FF FF FF FF 
1547753658.890862,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.900853,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.90143,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.902029,61184,6,0,6,64 0E 2B 00 FF FF FF FF 
1547753658.905077,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.905627,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.910929,61444,255,0,3,F0 FF 7D 84 03 FF FF FF 
1547753658.920882,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.921452,61184,255,0,3,64 06 FB 7C FF FF FF FF 
1547753658.922049,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753658.922627,65237,255,0,6,FF FF FC FF FF FF FF FF 
1547753658.925327,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547753658.925927,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.926802,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.927352,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547753658.930929,61444,255,0,3,F0 FF 7D 88 05 FF FF FF 
1547753658.940903,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.941478,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753658.945428,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.946653,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.950928,61444,255,0,3,F0 FF 7D 92 05 FF FF FF 
1547753658.960903,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.961478,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753658.962076,64947,255,0,6,FF FF 0E 28 FF FF FF FF 
1547753658.965404,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.966653,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.967229,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547753658.967803,65091,255,71,3,FF FF FF FF FF FF FF FF 
1547753658.968429,65092,255,71,3,00 00 FF FF 3F FF FF FF 
1547753658.970929,61444,255,0,3,F0 FF 7D 92 05 FF FF FF 
1547753658.980929,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.981504,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753658.982103,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753658.985429,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.986654,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.990929,61444,255,0,3,F0 FF 7D 92 05 FF FF FF 
1547753659.000905,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.00148,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753659.002054,61184,6,0,6,64 0E 35 00 FF FF FF FF 
1547753659.00543,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753659.006655,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753659.00723,65265,255,71,6,FF 00 00 FF FF FF FF FF 
1547753659.007828,61445,255,3,6,FF FF FF FF FF FF FF FF 
1547753659.01093,61444,255,0,3,F0 FF 7D 92 05 FF FF FF 
1547753659.02088,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.021455,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753659.022053,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.022631,65247,255,0,6,80 26 1D FF FF FF FF FF 
1547753659.02533,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547753659.025929,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753659.027155,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753659.030931,61444,255,0,3,F0 FF 7D 92 05 FF FF FF 
1547753659.040906,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.041481,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753659.042055,65263,255,0,6,FF FF FF 1A FF FF FF FA 
1547753659.045706,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753659.046932,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
1547753659.047507,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547753659.048106,65535,255,71,3,5D FF FF F3 FF FF FF FF 
1547753659.050979,61444,255,0,3,F0 FF 7D 08 05 FF FF FF 
1547753659.060907,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.061482,61184,255,0,3,64 06 F8 7C FF FF FF FF 
1547753659.070957,61444,255,0,3,F0 FF 7D 06 05 FF FF FF 
1547753659.080933,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.081533,61184,255,0,3,64 06 F8 7C FF FF FF FF 
1547753659.082107,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753659.090933,61444,255,0,3,F0 FF 7D 06 05 FF FF FF 
1547753659.100933,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.101508,61184,255,0,3,64 06 F8 7C FF FF FF FF 
1547753659.102082,61184,6,0,6,64 0E 3F 00 FF FF FF FF 
1547753659.110933,61444,255,0,3,F0 FF 7D 06 05 FF FF FF 
1547753659.120896,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.121484,61184,255,0,3,64 06 F8 7C FF FF FF FF 
1547753659.122082,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.122659,65270,255,0,6,FF 00 41 FF 00 FF FF FF 
1547753659.130959,61444,255,0,3,F0 FF 7D 02 06 FF FF FF 
1547753659.14091,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.141485,61184,255,0,3,64 06 F7 7C FF FF FF FF 
1547753659.150936,61444,255,0,3,F0 FF 7D 90 06 FF FF FF 
1547753659.16091,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.161487,61184,255,0,3,64 06 F6 7C FF FF FF FF 
1547753659.17096,61444,255,0,3,F0 FF 7D 94 06 FF FF FF 
1547753659.171561,65530,255,0,6,02 2C 00 00 18 0C 00 00 
1547753659.180962,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.181537,61184,255,0,3,64 06 F6 7C FF FF FF FF 
1547753659.18211,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753659.190937,61444,255,0,3,F0 FF 7D 94 06 FF FF FF 
1547753659.200913,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.201487,61184,255,0,3,64 06 F6 7C FF FF FF FF 
1547753659.20206,61184,6,0,6,64 0E 49 00 FF FF FF FF 
1547753659.202637,65269,255,0,6,C8 FF FF FF FF 3C FF FF 
1547753659.210988,61444,255,0,3,F0 FF 7D 94 06 FF FF FF 
1547753659.220939,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.221513,61184,255,0,3,64 06 F6 7C FF FF FF FF 
1547753659.222111,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.230939,61444,255,0,3,F0 FF 7D 94 06 FF FF FF 
1547753659.240914,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.241501,61184,255,0,3,64 06 F6 7C FF FF FF FF 
1547753659.242062,65129,255,0,6,42 25 AC 26 FF FF 60 FE 
1547753659.250964,61444,255,0,3,F0 FF 7D 64 04 FF FF FF 
1547753659.26089,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.261464,61184,255,0,3,64 06 F9 7C FF FF FF FF 
1547753659.270941,61444,255,0,3,F0 FF 7D 48 04 FF FF FF 
1547753659.27154,65247,255,0,6,80 04 1D FF FF FF FF FF 
1547753659.28094,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753659.281515,61184,255,0,3,64 06 F9 7C FF FF FF FF 
1547753659.282113,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753659.290941,61444,255,0,3,F0 FF 7D 48 04 FF FF FF 
1547753659.300916,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.301491,61184,255,0,3,64 06 F9 7C FF FF FF FF 
1547753659.302088,61184,6,0,6,64 0E 53 06 FF FF FF FF 
1547753659.310967,61444,255,0,3,F0 FF 7D F8 08 FF FF FF 
1547753659.320917,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753659.321491,61184,255,0,3,64 06 F2 7C FF FF FF FF 
1547753659.322089,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.330992,61444,255,0,3,FE FF 7D 46 07 FF FF FF 
1547753659.340944,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.341517,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.350946,61444,255,0,3,FE FF B7 A6 06 FF FF FF 
1547753659.360944,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.361518,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.362091,64892,255,0,6,F8 80 F0 F0 00 CF 03 FC 
1547753659.370995,61444,255,0,3,FE FF B7 E8 05 FF FF FF 
1547753659.38102,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.381569,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.382167,65266,255,0,6,17 00 FF FF FF FF FF FF 
1547753659.390995,61444,255,0,3,FE FF B6 20 05 FF FF FF 
1547753659.400944,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.40152,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.402092,61184,6,0,6,64 0E 5D 06 FF FF FF FF 
1547753659.41097,61444,255,0,3,FE FF B6 B2 05 FF FF FF 
1547753659.420995,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.42157,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.422169,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.430996,61444,255,0,3,FE FF B6 DC 06 FF FF FF 
1547753659.440946,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.441521,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.450997,61444,255,0,3,FE FF B7 72 07 FF FF FF 
1547753659.460947,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.461521,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.462094,64947,255,0,6,FF FF 0E 28 FF FF FF FF 
1547753659.462696,61184,255,0,7,64 07 00 00 FF FF FF FF 
1547753659.471023,61444,255,0,3,FE FF B7 7A 07 FF FF FF 
1547753659.480998,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.481572,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.482171,65266,255,0,6,1E 00 FF FF FF FF FF FF 
1547753659.491049,61444,255,0,3,FE FF B7 4C 07 FF FF FF 
1547753659.501074,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.501673,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.502249,61184,6,0,6,64 0E 67 06 FF FF FF FF 
1547753659.511024,61444,255,0,3,FE FF B7 FC 06 FF FF FF 
1547753659.521,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.521573,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.522172,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.522748,65247,255,0,6,81 20 1C FF FF FF FF FF 
1547753659.531024,61444,255,0,3,FE FF B7 C0 06 FF FF FF 
1547753659.540976,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.54155,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.542124,65263,255,0,6,FF FF FF 44 FF FF FF FA 
1547753659.551025,61444,255,0,3,FE FF B7 36 06 FF FF FF 
1547753659.560951,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.561526,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.571052,61444,255,0,3,FE FF B7 5E 05 FF FF FF 
1547753659.581026,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.581601,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.5822,65266,255,0,6,15 00 FF FF FF FF FF FF 
1547753659.591026,61444,255,0,3,FE FF B6 24 05 FF FF FF 
1547753659.601003,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.601577,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.60215,61184,6,0,6,64 0E 71 06 FF FF FF FF 
1547753659.611028,61444,255,0,3,FE FF B6 28 09 FF FF FF 
1547753659.621002,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.621579,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.62215,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.622728,65270,255,0,6,FF 00 40 FF 00 FF FF FF 
1547753659.631054,61444,255,0,3,FE FF B9 DE 0B FF FF FF 
1547753659.640954,61184,250,0,6,64 01 FF 00 00 FF FF FF 
1547753659.641553,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.642126,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.651055,61444,255,0,3,FE FF BA 4E 0C FF FF FF 
1547753659.66103,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.661604,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.671054,61444,255,0,3,FE FF BB EE 0B FF FF FF 
1547753659.681081,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.681629,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.682255,65266,255,0,6,33 00 FF FF FF FF FF FF 
1547753659.691255,61444,255,0,3,FE FF BA 48 0A FF FF FF 
1547753659.701032,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.70158,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.702179,61184,6,0,6,64 0E 7B 06 FF FF FF FF 
1547753659.711032,61444,255,0,3,FE FF B9 40 0A FF FF FF 
1547753659.721032,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.721606,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.722203,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.731057,61444,255,0,3,FE FF B9 AC 0E FF FF FF 
1547753659.741007,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.741581,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.742155,65262,255,0,6,4C 42 FF FF FF FF FF FF 
1547753659.751083,61444,255,0,3,FE FF BC D4 0E FF FF FF 
1547753659.761008,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.761583,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.771034,61444,255,0,3,FE FF BC F0 0E FF FF FF 
1547753659.771608,65247,255,0,6,85 20 1C FF FF FF FF FF 
1547753659.781159,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.781733,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.782283,65266,255,0,6,42 00 FF FF FF FF FF FF 
1547753659.791035,61444,255,0,3,FE FF BC 50 0D FF FF FF 
1547753659.80101,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.801585,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.802158,61184,6,0,6,64 0E 85 06 FF FF FF FF 
1547753659.811085,61444,255,0,3,FE FF BB B0 10 FF FF FF 
1547753659.820963,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.82156,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.822157,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.822734,65271,255,0,6,FF FF FF FF FF FF CB 00 
1547753659.83106,61444,255,0,3,FE FF BD B6 11 FF FF FF 
1547753659.841111,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.841686,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.851035,61444,255,0,3,FE FF BE 72 10 FF FF FF 
1547753659.861036,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.861611,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.871062,61444,255,0,3,FE FF BD 52 11 FF FF FF 
1547753659.881061,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.881637,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.88221,65266,255,0,6,4D 00 FF FF FF FF FF FF 
1547753659.891039,61444,255,0,3,FE FF BE 40 12 FF FF FF 
1547753659.901038,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.901613,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.902186,61184,6,0,6,64 0E 8F 06 FF FF FF FF 
1547753659.911164,61444,255,0,3,FE FF BE 0A 13 FF FF FF 
1547753659.921214,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.921787,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.922413,61184,255,0,6,64 10 00 00 00 00 00 7D 
1547753659.92299,65237,255,0,6,FF FF FC FF FF FF FF FF 
1547753659.931092,61444,255,0,3,FE FF BF 08 14 FF FF FF 
1547753659.941069,61443,255,0,3,FF 00 64 FF 07 FF FF FF 
1547753659.941641,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.951094,61444,255,0,3,FE FF BF EE 14 FF FF FF 
1547753659.961016,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.961591,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.962191,64947,255,0,6,FF FF 0E 28 FF FF FF FF 
1547753659.971148,61444,255,0,3,FE FF BF C4 15 FF FF FF 
1547753659.981077,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
1547753659.981647,61184,255,0,3,64 06 8C 7D FF FF FF FF 
1547753659.982246,65266,255,0,6,64 00 FF FF FF FF FF FF 
1547753659.991076,61444,255,0,3,FE FF BF D8 16 FF FF FF 
1547753660.001074,61443,255,0,3,FF 00 64 FF 06 FF FF FF 
