Time , PGN , DA , SA , Prioirty , Data
1547753779.935246 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547753779.93715 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.937724 , 61184 , 255 , 0 , 3 , 64 06 2E 7D FF FF FF FF 
1547753779.938281 , 61184 , 6 , 0 , 6 , 64 0E CB 00 FF FF FF FF 
1547753779.94723 , 61444 , 255 , 0 , 3 , F0 FF 9D 1C 1C FF FF FF 
1547753779.952251 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.953476 , 61184 , 0 , 6 , 1 , 64 15 12 F0 04 19 93 0E 
1547753779.957229 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.9578 , 61184 , 255 , 0 , 3 , 64 06 2F 7D FF FF FF FF 
1547753779.958375 , 61184 , 255 , 0 , 6 , 64 10 01 01 CA 02 05 7D 
1547753779.967151 , 61444 , 255 , 0 , 3 , F0 FF 9D 0E 1C FF FF FF 
1547753779.972252 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.973477 , 61184 , 0 , 6 , 1 , 64 15 13 F0 02 19 93 0E 
1547753779.974052 , 65265 , 255 , 71 , 6 , FF 00 00 FF FF FF FF FF 
1547753779.974677 , 61445 , 255 , 3 , 6 , 7D FF FF FF FF FF FF FF 
1547753779.977077 , 61443 , 255 , 0 , 3 , FF 00 25 FF 06 FF FF FF 
1547753779.977655 , 61184 , 255 , 0 , 3 , 64 06 31 7D FF FF FF FF 
1547753779.987106 , 61444 , 255 , 0 , 3 , F0 FF 9E 14 1C FF FF FF 
1547753779.991832 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547753779.992429 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753779.993629 , 61184 , 0 , 6 , 1 , 64 15 14 F0 09 19 93 0E 
1547753779.997154 , 61443 , 255 , 0 , 3 , FF 00 24 FF 06 FF FF FF 
1547753779.997701 , 61184 , 255 , 0 , 3 , 64 06 30 7D FF FF FF FF 
1547753779.998281 , 64892 , 255 , 0 , 6 , F8 80 F1 F0 00 CF 03 FC 
1547753780.00718 , 61444 , 255 , 0 , 3 , F0 FF 9D 1E 1C FF FF FF 
1547753780.012209 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547753780.013528 , 61184 , 0 , 6 , 1 , 64 15 15 F0 04 19 93 0E 
1547753780.014078 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547753780.01468 , 65531 , 255 , 6 , 6 , 00 05 87 F8 FF FF FF FF 
1547753780.015254 , 65091 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
